Timestep    Total   Potential   Kinetic
0: -623.3913450788601 -669.2932036253528 45.901858546492726
1: -623.3913452735718 -669.2977286436559 45.90638337008411
2: -623.3913454530489 -669.2991845416211 45.9078390885722
3: -623.3913456171856 -669.2975692464723 45.9062236292867
4: -623.3913457658572 -669.2928810169251 45.90153525106792
5: -623.3913458989219 -669.2851184450465 45.89377254612456
6: -623.391346016221 -669.2742804583598 45.882934442138925
7: -623.3913461175775 -669.2603663221964 45.869020204618884
8: -623.3913462027958 -669.2433756422907 45.852029439494956
9: -623.3913462716638 -669.2233083676266 45.831962095962815
10: -623.3913463239523 -669.2001647935205 45.80881846956808
11: -623.391346359414 -669.1739455649467 45.782599205532776
12: -623.3913463777842 -669.1446516801061 45.75330530232188
13: -623.3913463787824 -669.1122844942295 45.72093811544708
14: -623.3913463621096 -669.0768457236156 45.685499361505975
15: -623.3913463274521 -669.0383374499063 45.64699112245424
16: -623.3913462744774 -668.9967621245854 45.60541585010803
17: -623.391346202838 -668.9521225737116 45.560776370873526
18: -623.3913461121708 -668.9044220028715 45.513075890700584
19: -623.3913460020958 -668.8536640023528 45.462318000257014
20: -623.3913458722171 -668.7998525525372 45.40850668032008
21: -623.3913457221244 -668.7429920295051 45.35164630738074
22: -623.3913455513923 -668.6830872108497 45.291741659457415
23: -623.39134535958 -668.6201432816941 45.228797922114104
24: -623.3913451462331 -668.5541658409117 45.16282069467853
25: -623.3913449108817 -668.4851609075373 45.09381599665565
26: -623.3913446530432 -668.413134927374 45.021790274330826
27: -623.3913443722224 -668.3380947797806 44.946750407558206
28: -623.3913440679079 -668.2600477846353 44.868703716727374
29: -623.39134373958 -668.1790017094836 44.78765796990368
30: -623.3913433867028 -668.094964776838 44.703621390135176
31: -623.3913430087318 -668.0079456716518 44.616602662919895
32: -623.3913426051088 -667.9179535489355 44.52661094382674
33: -623.3913421752661 -667.8249980415295 44.433655866263344
34: -623.391341718626 -667.7290892680088 44.33774754938285
35: -623.3913412345993 -667.6302378407219 44.23889660612255
36: -623.3913407225893 -667.528454873956 44.13711415136659
37: -623.3913401819894 -667.4237519922133 44.032411810223834
38: -623.3913396121851 -667.3161413385984 43.924801726413314
39: -623.3913390125554 -667.2056355833033 43.81429657074792
40: -623.3913383824702 -667.0922479321775 43.700909549707404
41: -623.3913377212953 -666.9759921353865 43.58465441409127
42: -623.3913370283894 -666.8568824961316 43.4655454677421
43: -623.3913363031069 -666.7349338794356 43.34359757632881
44: -623.3913355447971 -666.6101617209773 43.21882617618014
45: -623.3913347528073 -666.4825820359647 43.09124728315733
46: -623.3913339264802 -666.3522114280355 42.960877501555224
47: -623.3913330651587 -666.2190670981793 42.82773403302053
48: -623.3913321681814 -666.0831668536571 42.691834685475655
49: -623.3913312348891 -665.9445291169255 42.55319788203644
50: -623.3913302646212 -665.8031729345325 42.411842669911344
51: -623.3913292567198 -665.6591179859895 42.267788729269704
52: -623.3913282105275 -665.5123845925939 42.12105638206636
53: -623.391327125392 -665.3629937262016 41.97166660080964
54: -623.3913260006618 -665.2109670179207 41.81964101725882
55: -623.3913248356936 -665.0563267667318 41.66500193103823
56: -623.3913236298472 -664.899095948 41.50777231815273
57: -623.391322382491 -664.7392982218829 41.34797583939192
58: -623.3913210929991 -664.576957941606 41.18563684860686
59: -623.3913197607571 -664.4121001616029 41.020780400845744
60: -623.3913183851573 -664.2447506454897 40.853432260332404
61: -623.3913169656056 -664.0749358738788 40.68361890827312
62: -623.3913155015175 -663.9026830519929 40.51136755047542
63: -623.3913139923228 -663.7280201170861 40.3367061247633
64: -623.3913124374653 -663.550975745638 40.15966330817266
65: -623.3913108364031 -663.3715793603135 39.98026852391032
66: -623.3913091886112 -663.1898611366719 39.79855194806066
67: -623.3913074935828 -663.0058520096051 39.614544516022306
68: -623.3913057508278 -662.8195836794861 39.42827792865834
69: -623.3913039598783 -662.6310886180211 39.23978465814273
70: -623.391302120285 -662.4404000737707 39.0490979534857
71: -623.3913002316211 -662.2475520773414 38.856251845720344
72: -623.3912982934855 -662.0525794462187 38.661281152733146
73: -623.3912963054994 -661.8555177892194 38.4642214837201
74: -623.3912942673101 -661.6564035105619 38.26510924325175
75: -623.3912921785916 -661.455273813519 38.06398163492746
76: -623.3912900390479 -661.2521667036507 37.86087666460273
77: -623.3912878484108 -661.0471209915811 37.65583314317028
78: -623.3912856064424 -660.8401762953199 37.4488906888775
79: -623.3912833129377 -660.6313730420997 37.24008972916193
80: -623.3912809677247 -660.4207524697117 37.02947150198698
81: -623.3912785706663 -660.2083566273263 36.81707805666013
82: -623.3912761216587 -659.9942283757737 36.602952254114896
83: -623.3912736206381 -659.7784113872784 36.38713776664026
84: -623.3912710675762 -659.5609501446149 36.16967907703867
85: -623.3912684624838 -659.3418899396798 35.95062147719602
86: -623.3912658054137 -659.1212768714596 35.73001106604595
87: -623.391263096459 -658.8991578433709 35.50789474691176
88: -623.3912603357559 -658.6755805599653 35.28432022420946
89: -623.391257523484 -658.4505935229787 35.05933599949471
90: -623.3912546598674 -658.224246026706 34.83299136683869
91: -623.3912517451768 -657.9965881526933 34.60533640751654
92: -623.3912487797292 -657.7676707637223 34.37642198399315
93: -623.3912457638892 -657.5375454970808 34.14629973319162
94: -623.3912426980719 -657.3062647571022 33.9150220590303
95: -623.3912395827399 -657.0738817069537 33.68264212421382
96: -623.3912364184085 -656.8404502596743 33.44921384126571
97: -623.3912332056435 -656.6060250684328 33.2147918627893
98: -623.3912299450635 -656.3706615160087 32.979431570945216
99: -623.3912266373401 -656.1344157034742 32.74318906613413
100: -623.3912232831981 -655.8973444380716 32.50612115487354
101: -623.3912198834189 -655.6595052202787 32.26828533685977
102: -623.3912164388366 -655.4209562300416 32.02973979120498
103: -623.3912129503417 -655.1817563121833 31.790543361841596
104: -623.3912094188822 -654.9419649609688 31.550755542086602
105: -623.3912058454615 -654.7016423038207 31.310436458359188
106: -623.3912022311395 -654.4608490841857 31.069646853046265
107: -623.3911985770352 -654.2196466435464 30.828448066511204
108: -623.391194884323 -653.9780969025658 30.58690201824274
109: -623.3911911542373 -653.736262341378 30.345071187140782
110: -623.3911873880677 -653.4942059790067 30.10301859093892
111: -623.391183587164 -653.2519913519262 29.860807764762225
112: -623.3911797529315 -653.0096824917541 29.618502738822546
113: -623.3911758868353 -652.7673439020876 29.376168015252333
114: -623.3911719903955 -652.5250405344771 29.13386854408159
115: -623.3911680651902 -652.2828377635518 28.891669698361568
116: -623.3911641128542 -652.0408013612964 28.649637248442193
117: -623.3911601350783 -651.798997470488 28.407837335409663
118: -623.3911561336084 -651.5574925773024 28.16633644369387
119: -623.3911521102455 -651.3163534831002 27.925201372854737
120: -623.391148066844 -651.0756472754039 27.684499208559803
121: -623.3911440053116 -650.835441298077 27.44429729276532
122: -623.3911399276078 -650.5958031207234 27.204663193115575
